PersonID,Exercise (hrs/week),Sleep (hrs/day),Junk Food (times/week),Screen Time (hrs/day),Health Risk Category
1,3.745071229516849,7.357787360348283,2,9.289935427002568,2
2,2.792603548243223,7.560784526368234,6,5.501927920887243,2
3,3.9715328071510387,8.083051243175277,0,7.153113926111533,1
4,5.284544784612038,8.053802052034904,4,6.622500309087072,1
5,2.648769937914996,5.6223306320429085,7,12.157761616910475,2
6,2.648794564576229,6.062174960084877,6,8.239149822869154,2
7,5.368819223261087,7.51503526720866,5,5.744164817038467,2
8,4.151152093729364,7.513785950912209,3,4.088919118799149,1
9,2.295788421097572,7.515047686306048,0,2.787107359484855,1
10,3.813840065378947,10.0,4,6.406927271734446,1
11,2.3048734607813066,7.570890510693167,6,4.487298509431393,2
12,2.301405369644615,8.135565640180598,4,3.1554925808046517,1
13,3.362943407349051,7.954001763493203,5,4.706854231514947,1
14,0.1300796330133034,7.651391251305798,2,3.83690399277121,0
15,0.4126232512304506,6.684730755359654,4,9.37428327014513,0
16,2.156568706138541,7.758969220493268,6,7.763279513898901,2
17,1.4807533194983642,6.227174785462428,4,5.9840547173667655,0
18,3.471370998892911,6.763181393259991,4,8.959888277780053,2
19,1.6379638867181836,6.514636452170897,4,6.154736615295237,0
20,0.8815444479970629,7.081874139386323,1,4.2774315973434724,0
21,5.198473153382331,9.314658566673508,1,9.046248154539315,1
22,2.6613355492701967,5.1327348074082515,2,7.077820087369317,0
23,3.1012923070318856,7.686260190374513,0,3.925507691347087,1
24,0.8628777206798146,5.387284128810348,4,5.619322643832784,0
25,2.183425913212226,6.528068134210566,5,4.248763493230486,0
26,3.166383884564799,8.088950596967367,0,3.234400538071328,1
27,1.2735096338665457,7.064280019095463,5,7.852355095063283,2
28,3.563547027518508,5.922255222070694,0,9.818833280940261,0
29,2.0990419651217924,6.284696290740031,2,3.2028648523617176,0
30,2.562459375310085,7.679597748934675,4,7.125938473381142,2
31,2.097440081655905,6.2696333682828636,4,4.698714861756346,0
32,5.778417276763406,7.216458589581975,3,5.0257492324706075,1
33,2.9797541628930992,7.045571839903814,5,4.815212151522262,2
34,1.4134336065661495,6.348399652394183,0,4.272018460640368,0
35,4.233817368154783,9.143944089325325,0,6.097043255889654,1
36,1.1687345250434666,7.633919022318011,7,4.3380997671779244,2
37,3.313295392507133,4.974857413342393,7,6.540913651559678,2
38,0.06049481418033675,7.186454314769428,1,5.899523781101726,0
39,1.0077209266523544,6.338213535231612,3,5.522103906267181,0
40,3.2952918538036853,7.852433334796224,6,4.184872675916804,1
41,4.107699869993116,6.2074792615673,7,4.846457338863335,2
42,3.2570524217849557,6.885263558533101,6,7.510782451651512,2
43,2.8265275764176394,7.504987278980457,1,7.0018343752487615,1
44,2.548344456616067,7.865755194170122,1,4.044889510402898,1
45,0.7822170144488592,5.7997035929442236,1,6.198664610858452,0
46,1.920233687407937,6.665498764159052,5,7.502774246743578,2
47,2.3090418435603186,6.5250546888390435,5,2.6611894377572565,0
48,4.585683339328374,6.346670767426288,2,7.08672038475987,2
49,3.5154274343526923,8.765454240281096,2,4.674752482108307,1
50,0.3554397669558993,7.404981710960955,1,7.141197337186319,0
51,3.4861259540921923,5.739116045664955,3,4.473481686914966,0
52,2.422376579375525,7.917861947054776,0,2.390235798670962,1
53,1.9846169995410619,9.122156197012632,5,2.7449151242336747,1
